dataset,detector,backbone,method,placement,seeds,n,AP_mean,AP_std,AP50_mean,AP50_std,AP75_mean,AP75_std,APS_mean,APS_std,APM_mean,APM_std,APL_mean,APL_std,AR100_mean,AR100_std
TinyPerson,Faster R-CNN,ResNet-50-FPN,alw_canonical,la_loss,42;123;2024,3,0.156406,0.001532,0.430988,0.003359,0.069519,0.003087,0.140193,0.001124,0.225903,0.008028,0.370272,0.019335,,
TinyPerson,Faster R-CNN,ResNet-50-FPN,igwd,la_loss,42;123;2024,3,0.149465,0.000780,0.423776,0.001456,0.066578,0.001564,0.134407,0.001953,0.215863,0.008435,0.328023,0.026986,,
TinyPerson,Faster R-CNN,ResNet-50-FPN,nwd,la_loss_nms,42;123;2024,3,0.148003,0.001819,0.411355,0.003320,0.067946,0.001587,0.132892,0.002184,0.217058,0.002275,0.347526,0.018109,,
TinyPerson,Faster R-CNN,ResNet-50-FPN,rfla,la,42;123;2024,3,0.158568,0.001379,0.441799,0.005728,0.074839,0.002418,0.144071,0.000922,0.225994,0.007163,0.354634,0.010562,,
TinyPerson,Faster R-CNN,ResNet-50-FPN,sa_alw_canonical,la_loss,42;123;2024,3,0.155120,0.002356,0.426332,0.003854,0.071202,0.004322,0.138720,0.001843,0.229267,0.006034,0.365657,0.027953,,
TinyPerson,Faster R-CNN,ResNet-50-FPN,standard,iou_smooth_l1,42;123;2024,3,0.155572,0.002641,0.434155,0.005332,0.070974,0.001899,0.138496,0.001222,0.228698,0.015482,0.357958,0.008559,,
